Group	肝酶正常	肝酶正常	肝酶异常	肝酶异常	肝酶异常	肝酶正常	肝酶正常	肝酶异常
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	4.45090441538505e-07	1.81881019805562e-06	3.13312629240941e-06	2.790855821252e-06	1.71792441344513e-06	0	1.39565769592378e-07	2.03369462567267e-07
PRPP-PWY	0.000160277461510066	0.000159093136152744	0.000132962786095789	8.0497516427964e-05	0.000114275568041367	0.000194430190643384	0.000164366892127668	0.000113642852305623
PWY-101	0	0	3.35845192283393e-07	2.11243176455587e-07	0	0	0	0
PWY-1042	0.000587401322862739	0.000612341876777225	0.000484104436176279	0.000462624627838659	0.000715322770575487	0.000653516947664439	0.000658297801537194	0.000745969711816539
PWY-1269	0.000130058285867491	0.000116768330312197	9.41912792521773e-05	9.41845147055242e-05	5.10416450161775e-05	4.25105288797942e-05	1.71834550228814e-05	1.90296631558202e-05
PWY-1861	0	0	2.30971912212092e-07	0	7.06426961871721e-06	1.17858911611462e-06	2.65550676238651e-06	8.07053848628709e-06
PWY-241	6.49071813456389e-07	4.03673436867792e-06	2.19183307791676e-06	8.86073659663545e-08	2.63314369717963e-08	7.81375743664661e-05	9.35942043075833e-05	9.35594349770091e-07
PWY-2723	1.19027810800694e-05	2.51746044960035e-05	8.41734942633355e-06	3.00924891699601e-06	3.43914749120565e-06	1.2550779236764e-06	5.59513662707766e-07	2.2899061219198e-06
PWY-2941	0.000112982421184983	6.96051240386661e-05	8.18515306678572e-05	9.98606117960997e-05	4.26329140532736e-05	0.000119939295480174	0.000146499909630594	8.12113791651031e-05
PWY-2942	0.000488620286101552	0.000444063605870651	0.000525832155580318	0.000622084281578378	0.000439124136393678	0.000598264900327999	0.000594982225066904	0.000470620214801306
PWY-3001	0.000219467484407643	0.000197754076753757	0.000316414820211759	0.000317674984479643	0.000406617641231933	0.000457565950235587	0.000544134463600888	0.000505438412878661
PWY-3781	1.36365452261865e-06	1.85692635869806e-07	1.16267330281425e-06	4.2862259464643e-07	0	0	0	0
PWY-3841	0.000408972915007063	0.000351337576477122	0.000414813517214497	0.000524630500656338	0.000357479683346644	0.000268543547944758	0.000247624169813531	0.000352922589011917
PWY-4041	2.17515113754693e-05	4.48237065907497e-05	1.87069023576257e-05	9.81196553645518e-06	1.22557144327607e-05	1.07971265468398e-06	1.35779488065497e-06	3.24783608521747e-06
PWY-4242	0.000110068189143839	9.32818744140542e-05	4.74570329325339e-05	4.96009649264933e-05	0.000158122345981348	0.000113493115306701	0.000123529714955938	0.000160216698974759
PWY-4702	9.3519680461431e-06	1.54904031087836e-05	4.56484525359895e-06	2.06674598447906e-06	3.50742174049352e-06	2.92471858393818e-07	5.04226132142095e-07	1.01463265852878e-06
PWY-4981	1.6060072192834e-05	2.04752249156887e-05	3.19112084822349e-05	1.49905683916612e-05	1.47834004548584e-05	0.000153486491307881	0.000198573936353719	2.93766963910815e-05
PWY-4984	7.92405544672059e-05	5.78375017501299e-05	2.41162530730026e-05	3.45325061830159e-05	2.29371695780869e-05	1.85715087417152e-05	1.59168329348045e-05	2.22948548805578e-05
PWY-5004	0	0	0	0	0	3.68205770046595e-07	4.2392334893841e-07	0
